variable_code,variable_group,variable_subgroup,variable_name,studies
dTST,Arithmetic difference scores,Arithmetic difference scores,sTST-oTST,
dSOL,Arithmetic difference scores,Arithmetic difference scores,sSOL-oSOL,
dWASO,Arithmetic difference scores,Arithmetic difference scores,sWASO-oWASO,
dSE,Arithmetic difference scores,Arithmetic difference scores,sSE-oSE,
dAwak,Arithmetic difference scores,Arithmetic difference scores,sAwakenings-oAwakenings,
dTWT,Arithmetic difference scores,Arithmetic difference scores,sTWT-oTWT,
dTIB,Arithmetic difference scores,Arithmetic difference scores,sTIB-oTIB,
dLPS,Arithmetic difference scores,Arithmetic difference scores,sLPS-oLPS,
dBT,Arithmetic difference scores,Arithmetic difference scores,sBT-oBT,
dFWT,Arithmetic difference scores,Arithmetic difference scores,sFWT-oFWT,
dSPT,Arithmetic difference scores,Arithmetic difference scores,sSPT-oSPT,
xSPT,Arithmetic difference scores,Arithmetic difference scores,sSPT-oTST,
dSOT,Arithmetic difference scores,Arithmetic difference scores,sSOT-oSOT,
dLATST,Arithmetic difference scores,Arithmetic difference scores,sTST-oLA-TST,
dIWT,Arithmetic difference scores,Arithmetic difference scores,sIWT-oIWT,
dTST_R,Arithmetic difference scores,Arithmetic difference scores (reversed),oTST-sTST,
dSOL_R,Arithmetic difference scores,Arithmetic difference scores (reversed),oSOL-sSOL,
dWASO_R,Arithmetic difference scores,Arithmetic difference scores (reversed),oWASO-sWASO,
dSE_R,Arithmetic difference scores,Arithmetic difference scores (reversed),oSE-sSE,
absTST,Absolute difference scores,Absolute difference scores,|sTST-oTST|,
absSOL,Absolute difference scores,Absolute difference scores,|sSOL-oSOL|,
absWASO,Absolute difference scores,Absolute difference scores,|sWASO-oWASO|,
absSE,Absolute difference scores,Absolute difference scores,|sSE-oSE|,
absSPT,Absolute difference scores,Absolute difference scores,|sSPT-oSPT|,
rTST,Ratio scores,Ratio scores,sTST/oTST,
rSOL,Ratio scores,Ratio scores,sSOL/oSOL,
rWASO,Ratio scores,Ratio scores,sWASO/oWASO,
rSE,Ratio scores,Ratio scores,sSE/oSE,
rTWT,Ratio scores,Ratio scores,sTWT/oTWT,
rTIB,Ratio scores,Ratio scores,sTIB/oTIB,
rTST100,Ratio scores,Ratio scores (percentage),(sTST/oTST)*100,
rSOL100,Ratio scores,Ratio scores (percentage),(sSOL/oSOL)*100,
rWASO100,Ratio scores,Ratio scores (percentage),(sWASO/oWASO)*100,
rSE100,Ratio scores,Ratio scores (percentage),(sSE/oSE)*100,
rAwak100,Ratio scores,Ratio scores (percentage),(sAwakenings/oAwakenings)*100,
rTWT100,Ratio scores,Ratio scores (percentage),(sTWT/oTWT)*100,
MI,Combination scores,Misperception index,(oTST-sTST)/oTST,
MI_SOL,Combination scores,Combination score,(oSOL-sSOL)/oSOL,
MI_R,Combination scores,Combination score,(sTST-oTST)/oTST,
MI_R100,Combination scores,Combination score,(sTST-oTST)/oTST*100,
MI_SOL_R100,Combination scores,Combination score,(sSOL-oSOL)/oSOL*100,
MI_WASO_R100,Combination scores,Combination score,(sWASO-oWASO)/oWASO*100,
MI_SE_R100,Combination scores,Combination score,(sSE-oSE)/oSE*100,
not reported,,,Derived index not reported,
atypical,,,Atypical index (described below),
